texto_limpo,label
espaço volta fred felippe cardoso deve deixar fluminense,1.0
nega ação política prisão crivella veja dizem especialistas,1.0
ministro encontra representantes onu reforça compromisso vacinação indígenas,1.0
bolsonaro acabou revelar esquema josé dirceu stf cia disse ganhou turno tse anulou milhões votos boato,0.0
coloração fios casa rodrigo cintra dicas errar,1.0
polícia reino unido usa drones alertar fura quarentena,1.0
após exoneração pazuello saúde oficializa primeira saída militar,1.0
prefeituras têm dias informar medidas contra fura filas vacina,1.0
saúde reforça assistência indígenas durante pandemia coronavírus,1.0
bolsonaro reforça campanha contra vacina covid,1.0
fake primeira dama espírito santo curou covid protocolo cloroquina,0.0
base senado tenta deixar cpi covid suspensa articula contra barroso,1.0
presidente stf dias toffoli sofre acidente doméstico internado hospital,1.0
ministro educação fala sobre homossexualidade tirada contexto,1.0
coronavírus deu rumo brasil rumo crise,1.0
especialistas brasil vive apagão dados sobre covid,1.0
pedra gelo gigante durante chuva granizo andradas boato,0.0
bolsonaro condecorou professora heley abreu heroína nacional boato,0.0
países violaram direitos humanos pandemia,1.0
menino perdeu pernas após torturado pais inspira projeto lei reino unido,1.0
faber castell caixa lápis cor livro colorir jardim secreto site whatsapp boato,0.0
foto evacuação hospital após incêndio viraliza contexto,0.0
bolsonaro considera bons tempos menores podiam trabalhar,1.0
fake imagens mostrem lula bêbado agradecendo decisão fachin anular condenações,0.0
queiroga frança vão reunir embaixador china após falas bolsonaro contra país,1.0
eduardo bolsonaro invoca brizola pedir auditoria existente urnas,1.0
oms potencial eua tornem novo epicentro coronavírus,1.0
cena manequins sacos mostra mortos fraudemia bastidores clipe russo,0.0
agência europeia medicamentos aprova uso emergencial vacina moderna contra covid,1.0
fake texto anuncia mil demissões fechamento agências correios,0.0
fake mensagem fala cidades país eleições anuladas fraude urnas,0.0
fake fotos revelem projeto secreto aviões espalham produtos químicos nocivos saúde,0.0
joão doria participa festa araçatuba durante quarentena coronavírus boato,0.0
carnaval paulo adiado devido pandemia covid,1.0
fake vídeos mostrem filha julia roberts cantando música trilha filme atriz garota ipanema,0.0
walter braga neto secretário moro manda recado deputados sobre lei abuso autoridade boato,0.0
policial condenado morte george floyd,1.0
justiça manda união dar bebê ter remédio caro mundo,1.0
justiça decide padre robson inocente acusações desvios afipe boato,0.0
mortes coronavírus aumentam rússia putin pede exames,1.0
brasileiros navio tentam voltar casa medo ficar deriva,1.0
coronavírus justiça manda bancos suspenderem cobrança empréstimos aposentados,1.0
pesquisa cidade méxico capaz provar redução internações covid ivermectina,0.0
senado despeja gabinetes partidos após revelação prática irregular,1.0
pandemia platô inaceitavelmente alto casos mortes diz chefe oms,1.0
stj suspende ação penal contra presidente temer lavagem dinheiro,1.0
verdade kid bengala abandonar filme adulto parir virar evangélico,0.0
rhp real hospital português recife escreve texto sobre covid alimentos alcalinos boato,0.0
roupa gotinha comparada klux klan assunto vira meme,1.0
ministério saúde libera leitos suporte ventilatório pulmonar,1.0
ranking usado bolsonaro representa realidade imunização país,0.0
trump vai acionar ordem executiva derrubar comunicação decretar lei marcial manter poder boato,0.0
stj confirma afastamento witzel governo rio,1.0
adversários disputa presidência senado simone pacheco votam maneira semelhante,1.0
felipe titto produz máscaras faz ação fãs doação pandemia,1.0
suspende envio mil doses vacinas falta planejamento,1.0
brigadista icmbio flagrar incendiar formar criminoso pantanal,0.0
ambev férias coletivas fabricação cerveja causa novo coronavírus boato,0.0
criador álcool gel brasil vítima gestão ruim bolsonaro,1.0
denúncia mpf contra glenn greenwald repercussão,1.0
prefeito curitiba diz mandou fechar nada assim cidade zero mortes boato,0.0
coronavírus brasil sequencia genoma vírus menos reino unido desconhece mutações covid circulação,1.0
ataque hackers sistema tse afeta segurança eleição dizem especialistas barroso,0.0
vagas emprego unimed compartilhar link whatsapp boato,0.0
líbano bolsonaro diz brasileiros feridos graves governo oferecerá ajuda,1.0
vou sair brasília menos vez semana diz bolsonaro inauguração,1.0
bolsonaro dias explicar quiser fala sobre uso forças armadas,1.0
coronavírus últimas notícias sabe sexta feira,1.0
kassio marques apoio maioria comissão senado,1.0
pazuello diz comprará vacinas pfizer janssen congresso flexibilizar questão responsabilização,1.0
fake senador fabiano contarato rede defendeu anulação todos julgamentos lava jato,0.0
cristiano ronaldo afasta copo lula diz bolsonaro melhor presidente boato,0.0
manifestação bolsonarista pedir pelar cobrança iptu luzir mendigo,0.0
clarissa garotinho vai assessora wilson witzel governo rio boato,0.0
fake joão deus disse ministros stf pediam dinheiro garotas lugares secretos,0.0
fake uso máscara proteção faça mal saúde tornando sangue ácido,0.0
british airways faliu vai fechar funcionários gravaram vídeo despedida boato,0.0
fake ministra damares pode ter descoberto casos pedofilia envolvendo urubus capa,0.0
registro trump disse imprensa brasileira teme candidatura militar,0.0
fake vídeo mostre saques supermercados lojas vicente meio pandemia coronavírus,0.0
começou votação impeachment bolsonaro divulgando grupos esquerda boato,0.0
metade aderiu outra brincando assunto diz juiz lockdown,1.0
ministra damares alves cancela pagamento anistiados boato,0.0
fake imagem mostra anúncio fechamento supermercados rio,0.0
procurador desculpa academia durante reabertura,1.0
avenida niemeyer rio condenada causa pedras encosta boato,0.0
crise sanitária pode empurrar milhões crianças pobreza,1.0
comissão decide ouvir wajngarten antes cpi,1.0
fake fernando haddad fez festa aniversário vários convidados meio quarentena,0.0
fake imagem caixas cédulas prove fraude eleições eua,0.0
paulo sustenta taxa isolamento reabertura,1.0
venezuela nova cuba após divulgação regras nova constituinte boato,0.0
paulo mortes covid registra novo recorde,1.0
jogadores contrários retorno treinos grupos inglaterra,1.0
dia mil franceses baixam aplicativo rastrear novo coronavírus,1.0
cnmp rejeita suspender recomendação aras sobre fiscalização governo,1.0
hospital lucas zera leitos uti profissionais saúde cantam louvor cristão boato,0.0
deve assustado queda diz frança sobre russomanno datafolha,1.0
rui costa inaugura posto saúde bahia manda retirar equipamentos boato,0.0
usada desde brasil urna eletrônica nunca comprovação fraude,0.0
empresa bill gates dona patente novo coronavírus boato,0.0
cão espera dono internado covid meses porta casa itália,1.0
luxemburgo alerta sobre terrível covid pede facilitem,1.0
candidatos prefeito vice prefeito vereador declaram ter bilhão dinheiro vivo,1.0
morre pai márcio garcia complicações covid,1.0
fake bolsonaro obrigou inscrição cpf apostas mega sena,0.0
fato fake mil checagens ano,0.0
jovem adventista josé rio preto gravou vídeo pregação dias antes morrer covid boato,0.0
senado recebe ataque boçal dias homens bolsonaro,1.0
bolsonaro abraça pessoas posa fotos padaria brasília,1.0
critiquei duramente invasão gabinete líder bolsonaro senado,1.0
ilustração frase lula sobre gripe cabra macho metáfora crise financeira,0.0
aílton revela cobrança flu intervalo gente precisava jogar,1.0
fabricante coronavac recebe meio bilhão dólares dobrar produção vacina,1.0
leonardo dicaprio acusado corrupção pode perder cargo onu boato,0.0
falso joão doria tomou vacina chinesa contra covid,0.0
eua chegam mil mortes coronavírus aponta balanço johns hopkins,1.0
áfrica sul passa mil casos revisa medidas restritivas,1.0
kiwi testa positivo covid prova pandemia farsa boato,0.0
identificava jornalista ninguém ouvia diz fotógrafo agredido,1.0
lula atingido chuva ovos após sair prisão curitiba boato,0.0
doação filhotes bull terrier husky siberiano whatsapp facebook boato,0.0
bolsonaro reclama pecha genocida mil razões discordar,1.0
desgaste sofrido planalto afeta disputa câmara,1.0
amazonas recebe mil doses vacina butantan sinovac neste domingo,1.0
recém nomeados médicos vacinados primeiro dia imunização manaus,0.0
ministro stf decide verba candidatura negros vale,1.0
fake teste manda prender respiração pessoa certificar covid,0.0
damares alves descobre ministros stf envolvidos casos pedofilia boato,0.0
outras perguntas fazer presidente,1.0
nova regra facebook sobre fotos política privacidade começa amanhã boato,0.0
bolsonaro presença confirmada fórum econômico mundial,0.0
risco complicações após cirurgia bariátrica,1.0
vacina indiana contra covid alvo rede privada brasil covaxin gera críticas aprovação apressada,1.0
fhc primeiro receber bolsa ditadura benefício criou boato,0.0
fake vídeo mostre biden assinando papéis branco logo após posse eua,0.0
fake promotor mandou prender menina atirou garimpeiro,0.0
edifício burj khalifa alto mundo iluminado bandeira israel montagem,0.0
embraer faz propaganda pedindo mudanças brasil criticando impostos boato,0.0
mulher cortar pato cachorro facão espancar popular,0.0
capítulos queda braço sobre exames covid bolsonaro,1.0
fernanda torres disse torce coronavírus mate muitos brasileiros boato,0.0
bolsonaro veta indenização mil profissionais saúde incapacitados coronavírus,1.0
mpf pede justiça afaste ricardo salles meio ambiente,1.0
governo fecha diz ambientalista sobre exclusão sociedade fundo ambiental,1.0
schelp correto apuração independente chacina polícia rio,1.0
geddel absolvido caso malas dinheiro falta provas boato,0.0
sikêra júnior diz pediu morrer contraiu coronavírus,1.0
veja frases pazuello bolsonaro durante anúncio plano nacional vacinação contra covid,1.0
rio lote vacina aplicado grupos prioritários,1.0
toffoli glenn greenwald david miranda flagrados conversando restaurante boato,0.0
lojas carrefour ficaram temporariamente fechadas respeito morte cliente espancado,0.0
eleição bolsonaro colocou brasil lista ditaduras onu,0.0
comitiva governar federal reunir fundir investimento george soro,0.0
enge construtora contrata profissionais trabalhar boato,0.0
hackers invadem transmissão pré candidata psol prefeitura rio,1.0
covid justiça determina plano saúde pode limitar internação,1.0
oab entrou processo licenciamento anual taxa grt cair boato,0.0
desembargador advogados acionaram forças armadas contra stf governadores,0.0
ministério saúde cadastra médicos veterinários categorias combater coronavírus,1.0
falso urnas adulteradas encontradas fortaleza,0.0
bolsonaro reforça apoio crivella erra associar paes psol,1.0
fake eua china consideram cloroquina eficiente curar covid,0.0
mulheres precisam preliminares opiniões sexóloga critica pressa busca orgasmo feminino,1.0
foto publicada anos postada ato pró voto impresso,0.0
trump diz vacina novo coronavírus virá rapidamente risco eua ainda baixo,1.0
deputado paulo pimenta chama nordestinos porcos post facebook boato,0.0
marcelo freixo reclama prisão suspeito morte casa vídeo boato,0.0
fake anatel dado internet população causa coronavírus,0.0
senador substituiu juíza selma moro saias covid,1.0
jogos público custarão clubes alemães aponta relatório,1.0
secretário saúde paulo diz chegamos pico recomenda tratamento precoce fala sobre covid boato,0.0
fake imagem mostra crianças famintas observando ativista greta thunberg fazer refeição trem,0.0
pazuello inocente generais envergonhados capitão feliz segue procissão,1.0
outra pandemia outro vírus diz secretário citar utis,1.0
frança aprova liberação aborto nove meses gravidez boato,0.0
doar faz bem próximo fim ano chega hora desapegar,1.0
publicações utilizam dados parciais mortes registradas julho,0.0
post deputado apresenta dados enganosos sobre número mortes outras doenças pandemia,0.0
ricardo barros repercussão ideia assembleia constituinte boa,1.0
ministro saúde francês pede revisão uso cloroquina contra covid,1.0
fake mensagem atribuída secretaria saúde formulário controle boleto vacinação contra covid,0.0
deputado sugere receber bala presos ganharem indulto natal,1.0
itália decidiu prestar atendimento idosos anos coronavírus boato,0.0
argentina proíbe demissões dias devido pandemia coronavírus,1.0
embaixador china diz dilma cedeu costa brasileira pesca chinesa anos boato,0.0
estampa vestido melania trump obra estudantes vítimas abuso sexual,0.0
bolsonaro pede eleitores ignorem partidos vermelhos anti brasileiros boato,0.0
toffoli suspende investigações lava jato sobre senador josé serra,1.0
estudo levou estados municípios deixarem receitar cloroquina,0.0
stf declara inconstitucional impressão voto urna eletrônica,1.0
gene kelly inspirou frevo recife criar cantando chuva boato,0.0
flávio empresário apontou fraude fiscal loja diz ter sido ameaçado,1.0
frase sobrar coronavírus publicar pelar cantor gospel fabiano anastácio,0.0
dirigir máscara vai levar multa três pontos carteira boato,0.0
fake documento apontado sigiloso pauta globo sobre cobertura pandemia,0.0
exaltar governo bolsonaro vídeo ignora resultado transposição obra diversas gestões,0.0
léo magalhães comprou direitos autorais música caneta azul mil boato,0.0
prevê vacina oxford contra covid disponível novembro,1.0
diretor butantan preocupa logística vacina contra covid,1.0
falso família ciro provocado atraso transposição,0.0
carla bruni fala sobre mulheres anos entrevista veja boato,0.0
bolsonaro volta distorcer oms alvo panelaços pedidos renúncia,1.0
fake vídeo mostre criança colocando fogo supermercado atacadista campo grande,0.0
sawabona quer dizer respeito valorizo,1.0
ministros stf vão fugir europa semana setembro boato,0.0
fake glenn greenwald internado pressas após infarto rio,0.0
onu critica aumento censura china outros países ásia pandemia,1.0
montanha dinheiro bilhões governo recuperou corrupção exposta boato,0.0
vídeo mostra lula glenn greenwald combinando reportagem intercept contra moro boato,0.0
bolsonaro anuncia indicação general silva luna presidir petrobras,1.0
homem levar umar surrar bar parar cantar músico caneta azul,0.0
bolsonaro desenvolver umar vacinar segredar pazuello fundação fiocruz,0.0
mares tranquilos porque vídeos divulgados redes sociais incandescem diz mourão,1.0
fake nóis história vacinas fake news envolvendo imunização,0.0
fim casamento homossexual decretado tribunal estrasburgo boato,0.0
analisar notícia falso fraudar eleição eua,0.0
pior momento pandemia mourão diz condições realização cultos,1.0
irmão adélio bispo posa foto junto lula boato,0.0
anvisa aprovou falsas vacinas devemos voltar ruas máscaras boato,0.0
covid conselho enfermagem alerta cuidados luvas vacinar,1.0
fake estudo universidade stanford indicou máscaras ineficazes contra covid,0.0
pcc anuncia toque recolher partir sábado paulo boato,0.0
bolsonaro mente vez agora sobre fundeb,1.0
havan dando milhares vales compra comemoração aniversário boato,0.0
bndes encerra programa segurança presos pcc fogem paraguai,1.0
médico conselheiro casa branca diz novo vírus descoberto china ameaça imediata preciso ficar olho,1.0
cortella escreve texto vai andando xícara café boato,0.0
covid pode causar inflamação canal ligado testículos diz estudo brasileiro,1.0
ludhmila diz passou andar carro blindado segurança após ameaças,1.0
vezes políticos ignoraram orientações contra covid turno,1.0
mpe questiona doria covas sobre motivos adotarem lockdown total,1.0
rodrigo pacheco presidente senado acatou projeto voto impresso colocou votação boato,0.0
nuvem formato caveira visto céu califórnio eua,0.0
verdade russo umar árvore crescer pulmão,0.0
força aérea italiana apresenta praia itália som pavarotti boato,0.0
margaret thatcher esquerdista incompetente fracassar,0.0
câmara aprova texto base medida provisória prorroga contratos incra,1.0
surfista ítalo ferreira disse new york times maior prêmio ver lula cadeia,0.0
candidatas saem derrotadas turno capital prefeita,1.0
filme sobre pandemia poderá iniciar gravações causa pandemia,1.0
salles investigação começou eua ibama deu aula,1.0
grafeno vendido preço banana china deixa carro prova balas boato,0.0
blogueira relata ataques rede social após vídeo sobre bolsonaro,1.0
acionou justiça impedir bolsonaro combater seca nordeste,0.0
filha vladimir putin morre após tomar vacina russa contra covid boato,0.0
fake justiça eleitoral indeferiu candidatura vantoil martins prefeitura iguaba grande rio,0.0
câmara aprova libera repasse bilhões estados municípios,1.0
merck vai ajudar produzir vacina contra covid johnson johnson,1.0
suécia converte comissários bordo auxiliares enfermagem enfrentar coronavírus,1.0
bolsonaro desmoralizando democracia preparada diz ciro,1.0
experimento kiwi prova testes antígenos inválidos,0.0
salles discutiu semana passada legalização garimpos áreas protegidas,1.0
sinais fome sente emocional,1.0
casos caírem israel abro cidade amanhã diz kalil,1.0
bolsonaro gastou milhões leite condensado milhões chicletes cartão corporativo boato,0.0
barroso instituições funcionando retórica bolsonaro impressiona,1.0
covid governo zera imposto importação sobre medicamentos testes,1.0
cloroquina supera cuidados básicos contra covid afirma estudo,1.0
maria rosário perde dentadura durante votação reforma previdência câmara boato,0.0
casos coronavírus brasil abril,1.0
câmara aprova texto principal projeto flexibiliza licenciamento ambiental,1.0
boulos perde prefeitura covas desempenho gosto vitória,1.0
bolsonaro omite dados sobre covaxin usa distorções atacar coronavac,0.0
pandemia aumenta risco morte doenças transmitidas mosquitos diz opas,1.0
fake casos doença causada consumo tucunaré brasil,0.0
lei prevê prisão policiais fecharem comércio agirem favor lockdown boato,0.0
nestlé doar caixa leite condensar parir forçar armar,0.0
defende candidata paulo fique inelegível após rachadinha,1.0
recebeu governo federal combater pandemia,0.0
lira irrita deputado encerra sessão votava apoio setor eventos,1.0
ministério educação anuncia fim concursos públicos professores boato,0.0
covid arthur weintraub insinua fraude sobre mortes dado desatualizado,1.0
meteoro pode atingir terra destruir vida humana outubro boato,0.0
comissão senado confirma médico militar comando anvisa,1.0
diamante duas toneladas meia encontrado ong amazônia boato,0.0
magazine luiza faz doação geladeiras post foto facebook boato,0.0
fake vídeo mãe usa filha furtar bolsa shopping sido gravado rio,0.0
fake áudio incita golpe militar gravado ministra damares,0.0
aras apura pazuello cometeu falsidade ideológica uso documento nomes cientistas negaram autoria,1.0
benjamin netanyahu disse hezbollah escondeu mísseis porto beirute líbano boato,0.0
apreensão drogas aumentou durante pandemia diz polícia,1.0
alvo bolsonaro noruega subiu quota caça baleias explora petróleo,0.0
falso filho caçula bolsonaro cargo secretaria cultura,0.0
epidemiologista diz politização vacina confunde população,1.0
vídeo mostra chuva apagando incêndios pantanal hoje setembro boato,0.0
fake governo negou vacinas bauru prefeita obteve doses após reunião bolsonaro,0.0
pgr pede stf inquérito sobre pazuello primeira instância,1.0
falso governo bolsonaro feito nordeste colher trigo primeira vez,0.0
brasil mantém suspeitos coronavírus novos laboratórios farão exames,1.0
palácio planalto alvo vandalismo tinta vermelha,1.0
fake foto mostre weintraub avião pedindo silêncio após demissão saída brasil,0.0
enfermeira mônica calazans havia sido vacinada contra covid boato,0.0
fake tomar própolis repele mosquito febre amarela,0.0
vacinas chegaram testes imunização população,0.0
bolsonaro mostrar cicatriz sbt acabar mostrar pênis redar nacional,0.0
polícia federal amazonas desenterrou caixões cheios pedras,0.0
kassio votou contra deportação battisti diz bolsonaro,1.0
criança encontrada cascavel procura família compartilhe foto boato,0.0
pessoas vacinaram contra covid podem sim doar sangue cruz vermelha eua,0.0
frança mantém restaurantes estações esqui fechados batalha contra covid,1.0
fake homem fumando armado vídeo neto neguinho beija flor,0.0
ministério justiça exonera missionário causou polêmica funai,1.0
havan dando cestas básicas causa coronavírus compartilhar link whatsapp boato,0.0
demissões ernesto azevedo silva bolsonaro mexeu metade ministérios dois anos mandato saiba saiu,1.0
polícia chegou paradeiro queiroz atibaia partir dica celular apreendido,1.0
índices acionários china fecham alta expectativa sobre vacina recuperação econômica,1.0
ovni vestir lançamento foguete nasa,0.0
fake stf autorizou monitoramento whatsapp todos brasileiros,0.0
reportagem uol sobre dossiê antifascista recebe prêmio patrícia acioli,1.0
carlos slim determinou globo pare perseguir bolsonaro boato,0.0
fotos protestos antigos voltam circular após atos pró bolsonaro março,0.0
cachorrinho guia viagens virtuais fofo vai ter,1.0
fake homem fez papel diabo desfile gaviões fiel morreu carbonizado,0.0
paes fala escalonamento evitar aglomeração transportes rio,1.0
foto mostra bandidos mortos jacarezinho hora prisão boato,0.0
datas vacinação pessoas anos divulgadas boato,0.0
fake ozonioterapia mata novo coronavírus,0.0
eua pagam quase bilhões dólares garantem compra todas doses potencial vacina pfizer biontech afirmam empresas,1.0
ministra damares cancelou pagamento anistiados políticos,0.0
doses altas ivermectina podem provocar convulsão,0.0
donald trump presidente eua volta futuro boato,0.0
fake imagem mostre ministra holanda trabalhe gari duas horas dia antes escritório,0.0
atenderia telefone diz nicolelis convidado ministro,1.0
carro lapada traficante vir espancar sair quarentenar comunidade acari,0.0
transmissão covid cai metade apenas dose vacinas pfizer oxford diz estudo inglês,1.0
fake senado italiano aprovou tratamento precoce contra covid,0.0
facebook acesso todos dados conta bancária boato,0.0
ricardo barros deveria rebatizado dilmo,1.0
guarda municipal acaba festa cerca pessoas interior,1.0
coronavírus meio pandemia fome ameaça maior favela paulo,1.0
verdade eleitor levar suar caneta votar,0.0
fake corte universidades ocorreu porque instituições comprovaram destino recursos,0.0
covas sobre vice ricardo nunes boto mão fogo,1.0
vídeo novembro jornalista mariana gross circula atual,0.0
fake cálculo diz índice eficácia coronavac inferior,0.0
coronavírus levou quase mil pedir auxílio doença,1.0
unanimidade stf determina mudanças política segurança pública rio,1.0
hackers invadir site xvideos filmar usuário suar webcams,0.0
primeira dose vacina rio aplicada hoje diante cristo redentor,1.0
fake governador ceará usa palavras chulas referir decreto isolamento social vídeo,0.0
bolsonaro ordenar exército terminar pavimentação transamazônica,0.0
bell marques fala sobre coronavírus rui costa políticos china durante carnaval boato,0.0
médica nise yamaguchi comunidade científica conspira contra vida,1.0
tubaína gíria referente tortura afogamento cunhada brasil colônia usada ditadura boato,0.0
fake fotos vídeos mostrem produtos mofados shopping paulo durante quarentena,0.0
coronavírus mil pessoas curadas brasil,1.0
vídeo mostra queima controlada feita ibama incêndio provocado culpar presidente,0.0
revista virologia afirma novo coronavírus ácido devemos comer alimentos alcalinos boato,0.0
maia criou lei impedir bolsonaro indicar ministros stf,0.0
brf copacol fazem aniversário dão prêmios whatsapp boato,0.0
vídeo bolsonaro curso exalta violência anterior presidência,0.0
sus continuaria gratuito privatização ubs diz secretária,1.0
após ataques bolsonaro maia divulga ações congresso combate covid,1.0
japão formaliza novo sistema educacional cinco disciplinas patriotismo boato,0.0
enganoso vídeo denuncia suposta fraude urnas joão pessoa,0.0
foto obra postada governo bolsonaro anos lula,0.0
pesquisadores ufrj recomendam lockdown evitar colapso saúde,1.0
hospitais têm estoque kit intubação cinco dias diz estudo,1.0
governo nigéria anuncia suspensão twitter tempo indeterminado,1.0
frança mortes covid eleva total,1.0
petra acerta comparar polícias eua patina sobre amazônia,0.0
secretário saúde escreve mensagem chegamos pico covid boato,0.0
nebulização hidroxicloroquina eficácia comprovada tratamento covid,0.0
comissão pode recomendar tornado público dossiê sobre opositores governo diz trad,1.0
covid brasil registra novas mortes total ultrapassa mil,1.0
lula virou pastor evangélico vai inaugurar igreja brasil boato,0.0
universidade yale publicou estudo ontem hidroxicloroquina nível evidência tratamento covid boato,0.0
covid ministério saúde sabe quantos testes feitos país,1.0
carrefour porto alegre fechou portas demitiu todos funcionários boato,0.0
fim distração novo painel carro adivinha motorista quer,1.0
ter dados raciais covid melhora enfrentamento doença,1.0
lula expulsou jornalista americano pedido chegou feito,0.0
cidade usada exemplo bolsonaro vive auge covid mortos,1.0
papa diz necessário líder mundial humanidade boato,0.0
empresa lança limão vem cachaça dentro boato,0.0
fake nóis surgir disco voador,0.0
acordo prevê fábrica mosquito combate dengue brumadinho,1.0
caracas sugere calmante ernesto brasil venezuela trocam provocações,1.0
tcu aponta omissões graves pazuello gestão pandemia sugere punição,1.0
versão gay santa ceia camarim fábio porchat globo boato,0.0
paulo guedes vira réu processo tcu fraudes bilionárias boato,0.0
coronavírus decreto bolsonaro amplia lista serviços essenciais podem funcionar,1.0
paulo volta fase vermelha dia veja funciona domingo,1.0
teste covid utiliza cotonete causa danos cérebro porque atinge barreira sangue cerebral boato,0.0
aparelhamento conselho drogas falso atas mostram opiniões diversas,0.0
foto médicos ajudam combate coronavírus viraliza redes,1.0
covid assintomáticos têm carga viral coronavírus tão alta quanto pacientes sintomas diz estudo,1.0
candidata vereadora maranhão presa após oferecer troca votos boato,0.0
início carnaval ainda havia casos registrados covid brasil,0.0
foto ciclovia construída circula contexto promover tarcísio gomes freitas,0.0
facebook restaurou post sobre hidroxicloroquina mantém política contra desinformação contra covid,0.0
alemanha lançará estudo sobre magnitude imunidade coronavírus,1.0
doria diz greve metroviários inoportuna inadequada,1.0
camelô vender vacinar covid rir janeiro,0.0
após governo editar nova portaria sobre aborto caso estupro stf retira ações julgamento,1.0
bolo feito turquia conter comprimir causar paralisia,0.0
forças armadas milícias facção partidária diz gilmar mendes,1.0
hospital servidor inicia vacinação contra gripe drive thru,1.0
verdade vacina contra covid cause câncer danos genéticos homossexualismo,0.0
jornalista carolina brígido nova colunista uol,1.0
ministério marinho campeão emendas chamado tratoraço,1.0
respiridina casca laranja cura coronavírus bactéria boato,0.0
governo iminência fechar novo acordo milhões doses pfizer diz queiroga,1.0
joe biden casou babá filha vive reabilitação filho hunter abusou sobrinha boato,0.0
grupo leva planalto banner pergunta irritou bolsonaro,1.0
michelle bolsonaro lista propina governador pezão boato,0.0
fake foto mostra cartaz playstation frase tudo bem branco,0.0
vacinas rna causam doenças autoimunes matam recebe,0.0
